Lines,Lon,VehicleNumber,Time,Lat,Brigade
213,21.0947365,1000,2024-01-30 15:51:01,52.2274028,3
225,21.1681588,1002,2024-01-30 15:50:53,52.2764955,04
219,21.1877928,1003,2024-01-30 15:51:03,52.1838675,3
213,21.1879826,1004,2024-01-30 15:50:56,52.183909,2
213,21.1889226,1005,2024-01-30 15:50:57,52.149634,1
213,21.1023233,1007,2024-01-30 15:50:59,52.22248,4
L-8,21.0833641,10071,2024-01-30 15:50:56,52.423595,1
L24,21.029374,10074,2024-01-30 15:50:59,52.0746023,696
L-8,20.9411058,10075,2024-01-30 15:50:57,52.4006463,02
219,21.1112685,1008,2024-01-30 15:51:00,52.2138238,1
219,21.1032165,1009,2024-01-30 15:50:56,52.222433,2
225,21.1300025,1010,2024-01-30 15:50:56,52.2510661,501
225,21.1311515,1011,2024-01-30 15:51:00,52.2383669,503
225,21.0946936,1013,2024-01-30 15:50:56,52.2295916,502
213,21.2124623,1014,2024-01-30 15:50:58,52.1826181,5
192,21.064983,1020,2024-01-30 15:50:58,52.137825,4
108,21.066744,1021,2024-01-30 15:51:00,52.184177,3
108,21.0689092,1023,2024-01-30 15:51:00,52.2124026,399
192,21.045664,1024,2024-01-30 15:50:54,52.150028,5
163,21.057652,1025,2024-01-30 15:50:54,52.18288,01
163,21.052855,1026,2024-01-30 15:50:58,52.179783,03
339,20.9979074,1027,2024-01-30 12:22:19,52.1862639,03
239,20.996593,1028,2024-01-30 12:23:56,52.186005,777
107,21.005684,1029,2024-01-30 15:50:58,52.238903,3
163,21.084145,1030,2024-01-30 15:50:58,52.165104,02
339,21.097277,1031,2024-01-30 15:51:00,52.128178,02
815,20.970966,1032,2024-01-30 15:50:58,52.136749,777
263,21.047188,1034,2024-01-30 15:50:55,52.150944,06
339,21.075536,1035,2024-01-30 15:49:22,52.133094,01
809,20.991469,1036,2024-01-30 15:50:43,52.127456,776
107,21.052431,1037,2024-01-30 15:50:57,52.197186,6
208,20.9683204,1038,2024-01-30 15:50:59,52.2022321,05
108,21.036869,1039,2024-01-30 15:50:52,52.176918,2
107,21.019833,1040,2024-01-30 15:50:50,52.224114,4
204,21.032523,1041,2024-01-30 15:50:41,52.317931,07
204,21.0311483,1042,2024-01-30 15:50:52,52.293565,03
204,21.030965,1044,2024-01-30 15:50:57,52.2935833,04
204,21.0499617,1045,2024-01-30 15:50:46,52.3178917,06
107,21.0463133,1046,2024-01-30 15:50:56,52.2153067,5
107,20.9872217,1048,2024-01-30 15:50:52,52.24343,2
107,21.042394,1049,2024-01-30 15:32:14,52.266433,8
208,20.956435,1050,2024-01-30 15:50:49,52.2145683,2
228,20.928388,1052,2024-01-30 15:50:43,52.21441,3
228,20.978898,1054,2024-01-30 15:50:47,52.184041,2
208,20.9435717,1055,2024-01-30 15:50:58,52.2051017,591
228,20.933448,1057,2024-01-30 15:50:44,52.201926,1
207,20.8906617,1058,2024-01-30 15:50:49,52.19375,3
207,20.881716,1059,2024-01-30 15:50:42,52.19483,1
107,21.011286,1060,2024-01-30 15:50:55,52.230309,1
107,21.045559,1061,2024-01-30 15:50:56,52.218754,9
192,21.0183612,1062,2024-01-30 15:50:53,52.1529592,06
192,21.072598,1063,2024-01-30 15:50:59,52.132343,3
107,21.085117,1064,2024-01-30 15:51:00,52.193272,7
108,21.050751,1065,2024-01-30 15:50:57,52.178455,1
108,21.047703,1066,2024-01-30 15:50:55,52.211552,4
208,20.955223,1067,2024-01-30 15:50:57,52.213779,06
192,21.019493,1068,2024-01-30 15:51:00,52.172211,1
200,21.110552,1069,2024-01-30 15:50:59,52.112442,2
208,20.948135,1070,2024-01-30 15:50:56,52.209045,03
108,21.023441,1071,2024-01-30 15:50:56,52.228344,5
192,21.038851,1072,2024-01-30 15:50:56,52.141659,2
263,21.0590092,1073,2024-01-30 15:51:00,52.1488174,4
339,21.023741,1074,2024-01-30 15:50:59,52.179646,03
164,21.134245,1075,2024-01-30 15:50:57,52.149502,05
208,20.9749999,1076,2024-01-30 15:51:00,52.2090117,04
209,20.9972724,1077,2024-01-30 10:58:50,52.1877664,776
200,21.010893,1078,2024-01-30 15:50:59,52.201443,1
221,21.0443866,1101,2024-01-30 12:50:41,52.2649163,02
118,21.031066,1102,2024-01-30 15:50:55,52.2303335,3
107,21.0404783,1106,2024-01-30 15:50:55,52.2067773,8
123,21.1021616,1110,2024-01-30 15:50:56,52.2247503,4
240,21.1184578,1112,2024-01-30 15:50:54,52.3390741,2
178,21.0475981,1115,2024-01-30 15:50:58,52.2637105,012
181,20.9742051,1118,2024-01-30 15:50:58,52.2792848,2
123,21.047463,1119,2024-01-30 15:50:40,52.264153,4
L27,21.1963973,11201,2024-01-30 15:50:19,52.3487898,1
L27,21.1502555,11202,2024-01-30 15:49:39,52.3098408,2
168,21.033531,1200,2024-01-30 15:50:57,52.207024,7
139,21.0926754,1201,2024-01-30 15:50:59,52.1049562,066
263,21.049026,1202,2024-01-30 15:50:52,52.178296,3
119,20.998714,1203,2024-01-30 15:51:00,52.208023,06
739,21.018259,1205,2024-01-30 15:50:55,52.125767,07
218,21.002018,1206,2024-01-30 15:50:59,52.180763,2
106,21.023615,1208,2024-01-30 15:50:58,52.236729,6
218,21.0170544,1209,2024-01-30 15:50:57,52.180009,1
106,21.020483,1210,2024-01-30 15:51:00,52.236511,1
263,21.10305,1211,2024-01-30 15:50:59,52.178795,2
168,21.025629,1212,2024-01-30 15:51:00,52.2096164,4
251,21.093054,1213,2024-01-30 15:50:59,52.147411,63
139,21.048248,1214,2024-01-30 15:50:48,52.17429,64
263,21.033791,1216,2024-01-30 15:50:58,52.148468,1
119,21.165312,1217,2024-01-30 15:50:56,52.205269,07
739,21.017792,1218,2024-01-30 15:50:58,52.131874,013
218,20.991816,1219,2024-01-30 15:50:56,52.18317,3
218,20.989773,1220,2024-01-30 15:50:54,52.185379,5
168,21.0002442,1222,2024-01-30 15:51:00,52.2011596,5
139,21.023987,1223,2024-01-30 15:50:56,52.179543,61
263,21.107302,1224,2024-01-30 15:50:58,52.168427,5
123,21.051109,1400,2024-01-30 15:50:54,52.2524551,07
240,21.0630971,1401,2024-01-30 15:50:55,52.310926,1
115,21.205271,1411,2024-01-30 15:50:52,52.168457,6
183,21.149242,1412,2024-01-30 15:51:00,52.251701,2
183,21.134775,1413,2024-01-30 15:50:58,52.241436,5
183,21.085411,1414,2024-01-30 15:51:00,52.244465,4
117,21.052702,1416,2024-01-30 15:50:59,52.236538,1
142,21.0878345,1417,2024-01-30 15:51:00,52.2446342,06
153,21.17812,1418,2024-01-30 15:50:59,52.256756,3
153,21.150328,1419,2024-01-30 15:50:57,52.270576,2
319,21.1176699,1420,2024-01-30 15:18:02,52.2334227,02
173,21.222261,1421,2024-01-30 15:50:55,52.246246,9
153,21.17012,1422,2024-01-30 15:50:57,52.276794,04
146,21.128014,1424,2024-01-30 15:50:58,52.187668,4
183,21.187222,1426,2024-01-30 15:50:57,52.246807,6
702,21.1170157,1427,2024-01-30 09:48:19,52.2330436,03
115,21.162903,1428,2024-01-30 15:50:57,52.221413,2
119,21.173326,1429,2024-01-30 15:50:56,52.205814,5
117,21.091511,1430,2024-01-30 15:51:00,52.221947,2
156,20.9399805,1500,2024-01-30 15:50:54,52.2858501,2
166,21.0472635,1501,2024-01-30 15:50:57,52.2480886,4
118,21.0150196,1502,2024-01-30 15:50:56,52.217619,2
156,21.0619686,1505,2024-01-30 15:50:53,52.2622633,5
197,20.9495525,1506,2024-01-30 15:50:57,52.2700865,6
156,20.9273765,1508,2024-01-30 15:50:55,52.2910528,3
117,21.0453508,1509,2024-01-30 11:23:00,52.2644713,06
166,21.046193,1513,2024-01-30 15:50:51,52.157209,7
338,21.07526,1519,2024-01-30 15:50:49,52.265646,01
173,21.1305917,1521,2024-01-30 15:50:49,52.2369567,5
146,21.204575,1522,2024-01-30 15:50:49,52.1594567,5
119,21.044109,1523,2024-01-30 15:50:52,52.202348,1
319,21.116981,1524,2024-01-30 09:15:21,52.233371,07
147,21.1174617,1525,2024-01-30 15:50:46,52.2001967,3
173,21.196349,1526,2024-01-30 15:50:54,52.247965,4
153,21.16168,1527,2024-01-30 15:50:59,52.259228,1
146,21.052033,1528,2024-01-30 15:50:47,52.247669,2
702,21.0876783,1529,2024-01-30 15:50:55,52.24467,2
730,21.084378,1530,2024-01-30 15:50:40,52.245336,52
166,21.0460833,1532,2024-01-30 15:50:47,52.1909333,6
251,21.103593,1533,2024-01-30 15:50:57,52.120584,62
739,21.04352,1534,2024-01-30 15:50:53,52.08386,014
118,21.019619,1535,2024-01-30 15:50:49,52.245993,4
170,21.083746,1536,2024-01-30 15:50:51,52.27481,1
197,20.945101,1537,2024-01-30 15:50:49,52.23904,010
122,20.9135333,1538,2024-01-30 15:50:59,52.2388483,012
173,21.2431883,1539,2024-01-30 15:50:46,52.2237383,2
156,21.066166,1540,2024-01-30 15:50:55,52.27488,4
122,20.9713867,1541,2024-01-30 15:50:56,52.26398,3
169,21.044156,1542,2024-01-30 15:50:51,52.27814,2
173,21.1284317,1543,2024-01-30 15:50:54,52.2354983,8
126,20.997195,1545,2024-01-30 15:50:47,52.319798,4
338,21.0345383,1546,2024-01-30 15:50:49,52.2554167,05
169,21.04196,1548,2024-01-30 15:50:46,52.3002,3
122,20.912265,1549,2024-01-30 15:50:46,52.243944,014
156,21.018855,1550,2024-01-30 15:50:46,52.2908367,06
303,20.92719,1551,2024-01-30 15:50:49,52.30896,2
123,21.046089,1553,2024-01-30 09:55:01,52.264461,09
170,21.0530717,1554,2024-01-30 15:50:51,52.2600717,4
106,20.986335,1555,2024-01-30 15:50:50,52.233956,08
123,21.0844793,1800,2024-01-30 15:50:50,52.2458141,3
169,21.0400006,1801,2024-01-30 15:50:54,52.2506408,1
118,21.0314895,1802,2024-01-30 15:50:57,52.235894,1
106,20.9974293,1803,2024-01-30 15:50:57,52.2362388,09
122,20.9699965,1804,2024-01-30 15:50:56,52.2629843,10
181,20.9065578,1805,2024-01-30 15:50:54,52.303394,4
178,20.914939,1806,2024-01-30 15:51:00,52.2021623,013
166,21.0657808,1807,2024-01-30 15:50:55,52.1264455,09
197,20.9737883,1808,2024-01-30 15:51:00,52.2713628,010
169,21.049755,1809,2024-01-30 15:50:57,52.2528946,5
221,20.993937,1810,2024-01-30 15:50:55,52.2595096,02
123,21.0481546,1811,2024-01-30 15:50:56,52.2456565,08
221,20.992843,1812,2024-01-30 15:50:58,52.259506,1
197,20.9584625,1813,2024-01-30 15:50:55,52.281033,08
181,20.9373243,1814,2024-01-30 15:50:58,52.3039316,1
212,21.0408085,1815,2024-01-30 15:50:55,52.2888315,06
204,21.0681783,1816,2024-01-30 15:50:55,52.3241585,05
118,21.0156505,1817,2024-01-30 15:50:57,52.2199876,05
122,20.8964496,1818,2024-01-30 15:50:56,52.2351671,6
170,21.0473705,1819,2024-01-30 15:50:59,52.2550176,2
117,21.030779,1830,2024-01-30 15:50:59,52.2337995,5
736,21.0287158,1833,2024-01-30 15:50:57,52.3470771,2
115,21.157299,1835,2024-01-30 15:50:54,52.257388,3
115,21.1703053,1838,2024-01-30 15:51:00,52.277126,4
126,21.0583196,1839,2024-01-30 15:50:54,52.3015193,3
730,21.3778828,1840,2024-01-30 15:50:57,52.1993888,01
115,21.1999898,1842,2024-01-30 15:50:56,52.1734486,1
117,21.0051466,1844,2024-01-30 15:50:58,52.2296033,06
119,21.0329371,1845,2024-01-30 15:50:55,52.2071121,3
181,20.9594058,1846,2024-01-30 15:50:58,52.2812483,3
119,21.1060526,1848,2024-01-30 15:50:54,52.2110536,4
168,21.0190911,1849,2024-01-30 15:50:59,52.2121836,6
168,21.0924078,1851,2024-01-30 15:50:55,52.2144636,09
702,21.2331701,1855,2024-01-30 15:51:00,52.1058796,1
166,21.0344055,1856,2024-01-30 15:50:54,52.2026531,5
115,21.149163,1857,2024-01-30 15:50:55,52.2385763,5
117,21.0789155,1858,2024-01-30 15:50:51,52.226156,4
168,21.0395211,1859,2024-01-30 15:50:54,52.2067545,1
142,21.1314041,1862,2024-01-30 15:50:59,52.2324338,07
168,21.0640813,1863,2024-01-30 15:50:57,52.2054435,08
722,21.166353,1869,2024-01-30 15:50:46,52.225839,61
222,21.021584,1904,2024-01-30 15:50:57,52.2094,5
222,21.01538,1906,2024-01-30 15:50:49,52.193313,1
222,21.0049435,1907,2024-01-30 15:50:59,52.2446792,3
222,20.996483,1908,2024-01-30 15:50:59,52.188847,6
222,21.0192541,1909,2024-01-30 15:51:00,52.233686,4
106,20.978668,1911,2024-01-30 15:51:00,52.232636,5
106,20.9668949,1912,2024-01-30 15:50:56,52.2453647,4
106,20.965517,1914,2024-01-30 15:50:58,52.238644,3
106,21.004801,1915,2024-01-30 15:50:58,52.237652,2
251,21.1230222,1916,2024-01-30 15:51:00,52.0894444,65
331,21.0174,1917,2024-01-30 15:50:55,52.1545,01
222,21.0246539,1918,2024-01-30 15:50:59,52.2211666,2
164,21.089916,1919,2024-01-30 15:50:57,52.155773,04
331,21.0153489,1990,2024-01-30 15:50:59,52.1532462,03
331,21.0240152,1992,2024-01-30 15:51:00,52.1798879,02
331,20.979332,1994,2024-01-30 15:50:58,52.168655,05
331,20.9864737,1996,2024-01-30 15:51:00,52.1581302,04
710,21.079947,2000,2024-01-30 15:50:56,52.130543,07
189,21.053751,2001,2024-01-30 15:51:00,52.180367,8
319,21.071825,2002,2024-01-30 15:50:58,52.155003,08
189,20.9006536,2004,2024-01-30 15:51:00,52.2388684,14
401,20.979193,2005,2024-01-30 15:51:00,52.183575,022
193,21.048489,2006,2024-01-30 15:50:59,52.158161,06
319,21.165481,2007,2024-01-30 15:50:58,52.2045207,01
709,21.019516,2008,2024-01-30 15:50:59,52.172337,013
189,20.921894,2009,2024-01-30 15:50:57,52.197784,1
189,20.898573,2010,2024-01-30 15:50:58,52.239464,021
143,21.178148,2012,2024-01-30 15:50:56,52.260784,010
709,21.018923,2013,2024-01-30 15:50:59,52.100883,014
724,21.03787,2014,2024-01-30 15:50:42,52.078715,668
727,21.0229367,2016,2024-01-30 15:51:00,52.1801804,04
710,21.114185,2017,2024-01-30 15:50:57,52.082249,09
522,21.0129997,2018,2024-01-30 15:51:00,52.2272572,5
519,21.099857,2019,2024-01-30 15:50:57,52.13467,2
709,21.017757,2021,2024-01-30 15:50:59,52.15168,012
504,21.031282,2022,2024-01-30 15:50:59,52.149815,5
189,21.032549,2023,2024-01-30 15:50:59,52.17347,9
189,20.9259906,2024,2024-01-30 15:50:59,52.196132,12
709,21.017885,2025,2024-01-30 15:51:00,52.143185,8
141,21.038046,2026,2024-01-30 15:51:00,52.206776,012
709,21.023281,2027,2024-01-30 15:50:59,52.081036,2
