odleglosc,ulica_id,nr_zespolu,typ,nr_przystanku,line
7033,0122,2239,2,02,L51
6393,0122,2237,2,02,L51
7613,1731,2358,3,02,L51
0,1265,2868,3,02,L51
1705,2586,2864,2,02,L51
1251,2586,2865,2,02,L51
2845,2084,2870,2,02,L51
2481,2526,2862,2,02,L51
4123,1507,2869,2,02,L51
3513,1507,2360,2,02,L51
5752,2135,2242,2,52,L51
4462,0274,2869,1,03,L51
6362,2586,2864,2,01,L51
5611,2526,2863,2,01,L51
8126,1265,2868,3,02,L51
6811,2586,2865,2,01,L51
0,1731,2358,3,02,L51
1588,0122,2237,2,03,L51
793,0122,2802,2,01,L51
3603,0274,2869,1,03,L51
2243,2135,2242,2,51,L51
4492,1507,2360,2,01,L51
3842,1507,2869,2,01,L51
5431,2526,2862,2,01,L51
5082,2084,2870,2,01,L51
4387,0150,3354,1,51,217
3887,0150,3353,1,01,217
5396,0271,3468,1,02,217
4941,0271,3385,1,04,217
6690,0317,3143,1,04,217
6401,1842,3208,1,04,217
7360,1005,3138,1,04,217
6990,0317,3144,1,02,217
7570,0113,3280,4,03,217
0,0125,3009,5,15,217
907,0125,3038,2,01,217
455,0125,3037,2,01,217
1614,0125,3039,1,03,217
1333,0125,3443,2,01,217
2399,0125,3040,1,01,217
1922,0125,3309,2,01,217
3307,0150,3042,1,03,217
2797,0125,3041,1,01,217
0,1801,3009,4,02,217
2980,2513,R-07,6,99,217
4387,0150,3354,1,51,217
3887,0150,3353,1,01,217
5396,0271,3468,1,02,217
4941,0271,3385,1,04,217
6690,0317,3143,1,04,217
6401,1842,3208,1,04,217
7360,1005,3138,1,04,217
6990,0317,3144,1,02,217
8298,0113,3142,3,04,217
7594,0113,3280,1,04,217
0,0125,3009,5,15,217
907,0125,3038,2,01,217
455,0125,3037,2,01,217
1614,0125,3039,1,03,217
1333,0125,3443,2,01,217
2399,0125,3040,1,01,217
1922,0125,3309,2,01,217
3307,0150,3042,1,03,217
2797,0125,3041,1,01,217
5354,1801,3009,4,02,217
4824,0150,3037,2,02,217
0,0271,3391,3,02,217
805,0150,3354,1,02,217
305,0150,3385,1,02,217
2377,0150,3041,1,02,217
1370,0150,3353,1,52,217
3265,0150,3309,2,02,217
2799,0150,3040,1,02,217
4328,0150,3038,2,02,217
3651,0150,3039,1,04,217
0,2513,R-07,6,00,217
7217,0113,3142,3,04,217
4387,0150,3354,1,51,217
3887,0150,3353,1,01,217
5255,0271,3391,3,02,217
4945,0271,3385,1,03,217
0,0125,3009,5,15,217
907,0125,3038,2,01,217
