line,nr_przystanku,nr_zespolu,symbol_2,symbol_1,brygada,kierunek,trasa,czas
L51,02,2239,null,o,1,Orla,TO-ORL,05:31:00
L51,02,2239,null,o,1,Orla,TO-ORL,07:11:00
L51,02,2239,null,o,1,Orla,TO-ORL,08:31:00
L51,02,2239,null,o,1,Orla,TO-ORL,09:31:00
L51,02,2239,null,o,1,Orla,TO-ORL,11:11:00
L51,02,2239,null,o,1,Orla,TO-ORL,12:31:00
L51,02,2239,null,o,1,Orla,TO-ORL,14:31:00
L51,02,2239,null,o,1,Orla,TO-ORL,16:11:00
L51,02,2239,null,o,1,Orla,TO-ORL,17:31:00
L51,02,2239,null,o,1,Orla,TO-ORL,19:11:00
L51,02,2239,null,o,1,Orla,TO-ORL,20:31:00
L51,02,2239,null,o,1,Orla,TO-ORL,22:16:00
L51,02,2237,null,o,1,Orla,TO-ORL,05:30:00
L51,02,2237,null,o,1,Orla,TO-ORL,07:10:00
L51,02,2237,null,o,1,Orla,TO-ORL,08:30:00
L51,02,2237,null,o,1,Orla,TO-ORL,09:30:00
L51,02,2237,null,o,1,Orla,TO-ORL,11:10:00
L51,02,2237,null,o,1,Orla,TO-ORL,12:30:00
L51,02,2237,null,o,1,Orla,TO-ORL,14:30:00
L51,02,2237,null,o,1,Orla,TO-ORL,16:10:00
L51,02,2237,null,o,1,Orla,TO-ORL,17:30:00
L51,02,2237,null,o,1,Orla,TO-ORL,19:10:00
L51,02,2237,null,o,1,Orla,TO-ORL,20:30:00
L51,02,2237,null,o,1,Orla,TO-ORL,22:15:00
L51,02,2358,null,w,1,Warsztatowa,TO-OWR,05:55:00
L51,02,2358,null,w,1,Warsztatowa,TO-OWR,07:55:00
L51,02,2358,null,w,1,Warsztatowa,TO-OWR,08:55:00
L51,02,2358,null,w,1,Warsztatowa,TO-OWR,09:55:00
L51,02,2358,null,w,1,Warsztatowa,TO-OWR,11:55:00
L51,02,2358,null,w,1,Warsztatowa,TO-OWR,13:55:00
L51,02,2358,null,w,1,Warsztatowa,TO-OWR,14:55:00
L51,02,2358,null,w,1,Warsztatowa,TO-OWR,16:30:00
L51,02,2358,null,w,1,Warsztatowa,TO-OWR,17:55:00
L51,02,2358,null,w,1,Warsztatowa,TO-OWR,19:25:00
L51,02,2358,null,w,1,Warsztatowa,TO-OWR,20:55:00
L51,02,2358,null,w,1,Warsztatowa,TO-OWR,23:00:00
L51,02,2868,null,o,1,Orla,TO-ORL,05:15:00
L51,02,2868,null,o,1,Orla,TO-ORL,06:55:00
L51,02,2868,null,o,1,Orla,TO-ORL,08:15:00
L51,02,2868,null,o,1,Orla,TO-ORL,09:15:00
L51,02,2868,null,o,1,Orla,TO-ORL,10:55:00
L51,02,2868,null,o,1,Orla,TO-ORL,12:15:00
L51,02,2868,null,o,1,Orla,TO-ORL,14:15:00
L51,02,2868,null,o,1,Orla,TO-ORL,15:55:00
L51,02,2868,null,o,1,Orla,TO-ORL,17:15:00
L51,02,2868,null,o,1,Orla,TO-ORL,18:55:00
L51,02,2868,null,o,1,Orla,TO-ORL,20:15:00
L51,02,2868,null,o,1,Orla,TO-ORL,22:00:00
L51,02,2864,null,o,1,Orla,TO-ORL,05:18:00
L51,02,2864,null,o,1,Orla,TO-ORL,06:58:00
L51,02,2864,null,o,1,Orla,TO-ORL,08:18:00
L51,02,2864,null,o,1,Orla,TO-ORL,09:18:00
L51,02,2864,null,o,1,Orla,TO-ORL,10:58:00
L51,02,2864,null,o,1,Orla,TO-ORL,12:18:00
L51,02,2864,null,o,1,Orla,TO-ORL,14:18:00
L51,02,2864,null,o,1,Orla,TO-ORL,15:58:00
L51,02,2864,null,o,1,Orla,TO-ORL,17:18:00
L51,02,2864,null,o,1,Orla,TO-ORL,18:58:00
L51,02,2864,null,o,1,Orla,TO-ORL,20:18:00
L51,02,2864,null,o,1,Orla,TO-ORL,22:03:00
L51,02,2865,null,o,1,Orla,TO-ORL,05:17:00
L51,02,2865,null,o,1,Orla,TO-ORL,06:57:00
L51,02,2865,null,o,1,Orla,TO-ORL,08:17:00
L51,02,2865,null,o,1,Orla,TO-ORL,09:17:00
L51,02,2865,null,o,1,Orla,TO-ORL,10:57:00
L51,02,2865,null,o,1,Orla,TO-ORL,12:17:00
L51,02,2865,null,o,1,Orla,TO-ORL,14:17:00
L51,02,2865,null,o,1,Orla,TO-ORL,15:57:00
L51,02,2865,null,o,1,Orla,TO-ORL,17:17:00
L51,02,2865,null,o,1,Orla,TO-ORL,18:57:00
L51,02,2865,null,o,1,Orla,TO-ORL,20:17:00
L51,02,2865,null,o,1,Orla,TO-ORL,22:02:00
L51,02,2870,null,o,1,Orla,TO-ORL,05:21:00
L51,02,2870,null,o,1,Orla,TO-ORL,07:01:00
L51,02,2870,null,o,1,Orla,TO-ORL,08:21:00
L51,02,2870,null,o,1,Orla,TO-ORL,09:21:00
L51,02,2870,null,o,1,Orla,TO-ORL,11:01:00
L51,02,2870,null,o,1,Orla,TO-ORL,12:21:00
L51,02,2870,null,o,1,Orla,TO-ORL,14:21:00
L51,02,2870,null,o,1,Orla,TO-ORL,16:01:00
L51,02,2870,null,o,1,Orla,TO-ORL,17:21:00
L51,02,2870,null,o,1,Orla,TO-ORL,19:01:00
L51,02,2870,null,o,1,Orla,TO-ORL,20:21:00
L51,02,2870,null,o,1,Orla,TO-ORL,22:06:00
L51,02,2862,null,o,1,Orla,TO-ORL,05:20:00
L51,02,2862,null,o,1,Orla,TO-ORL,07:00:00
L51,02,2862,null,o,1,Orla,TO-ORL,08:20:00
L51,02,2862,null,o,1,Orla,TO-ORL,09:20:00
L51,02,2862,null,o,1,Orla,TO-ORL,11:00:00
L51,02,2862,null,o,1,Orla,TO-ORL,12:20:00
L51,02,2862,null,o,1,Orla,TO-ORL,14:20:00
L51,02,2862,null,o,1,Orla,TO-ORL,16:00:00
L51,02,2862,null,o,1,Orla,TO-ORL,17:20:00
L51,02,2862,null,o,1,Orla,TO-ORL,19:00:00
L51,02,2862,null,o,1,Orla,TO-ORL,20:20:00
L51,02,2862,null,o,1,Orla,TO-ORL,22:05:00
L51,02,2869,null,o,1,Orla,TO-ORL,05:24:00
L51,02,2869,null,o,1,Orla,TO-ORL,07:04:00
L51,02,2869,null,o,1,Orla,TO-ORL,08:24:00
L51,02,2869,null,o,1,Orla,TO-ORL,09:24:00
L51,02,2869,null,o,1,Orla,TO-ORL,11:04:00
L51,02,2869,null,o,1,Orla,TO-ORL,12:24:00
L51,02,2869,null,o,1,Orla,TO-ORL,14:24:00
L51,02,2869,null,o,1,Orla,TO-ORL,16:04:00
L51,02,2869,null,o,1,Orla,TO-ORL,17:24:00
L51,02,2869,null,o,1,Orla,TO-ORL,19:04:00
L51,02,2869,null,o,1,Orla,TO-ORL,20:24:00
L51,02,2869,null,o,1,Orla,TO-ORL,22:09:00
L51,02,2360,null,o,1,Orla,TO-ORL,05:23:00
L51,02,2360,null,o,1,Orla,TO-ORL,07:03:00
L51,02,2360,null,o,1,Orla,TO-ORL,08:23:00
L51,02,2360,null,o,1,Orla,TO-ORL,09:23:00
L51,02,2360,null,o,1,Orla,TO-ORL,11:03:00
L51,02,2360,null,o,1,Orla,TO-ORL,12:23:00
L51,02,2360,null,o,1,Orla,TO-ORL,14:23:00
L51,02,2360,null,o,1,Orla,TO-ORL,16:03:00
L51,02,2360,null,o,1,Orla,TO-ORL,17:23:00
L51,02,2360,null,o,1,Orla,TO-ORL,19:03:00
L51,02,2360,null,o,1,Orla,TO-ORL,20:23:00
L51,02,2360,null,o,1,Orla,TO-ORL,22:08:00
L51,52,2242,null,o,1,Orla,TO-ORL,05:28:00
L51,52,2242,null,o,1,Orla,TO-ORL,07:08:00
L51,52,2242,null,o,1,Orla,TO-ORL,08:28:00
L51,52,2242,null,o,1,Orla,TO-ORL,09:28:00
L51,52,2242,null,o,1,Orla,TO-ORL,11:08:00
L51,52,2242,null,o,1,Orla,TO-ORL,12:28:00
L51,52,2242,null,o,1,Orla,TO-ORL,14:28:00
L51,52,2242,null,o,1,Orla,TO-ORL,16:08:00
