line,nr_przystanku,nr_zespolu,symbol_2,symbol_1,brygada,kierunek,trasa,czas
L51,02,2239,null,o,02,Orla,TO-ORL,04:31:00
L51,02,2239,null,o,1,Orla,TO-ORL,05:11:00
L51,02,2239,null,o,02,Orla,TO-ORL,05:31:00
L51,02,2239,null,o,1,Orla,TO-ORL,06:11:00
L51,02,2239,null,o,02,Orla,TO-ORL,06:31:00
L51,02,2239,null,o,1,Orla,TO-ORL,07:06:00
L51,02,2239,null,o,02,Orla,TO-ORL,07:47:00
L51,02,2239,null,o,1,Orla,TO-ORL,08:32:00
L51,02,2239,null,o,02,Orla,TO-ORL,09:11:00
L51,02,2239,null,o,1,Orla,TO-ORL,10:11:00
L51,02,2239,null,o,1,Orla,TO-ORL,11:11:00
L51,02,2239,null,o,1,Orla,TO-ORL,12:11:00
L51,02,2239,null,o,1,Orla,TO-ORL,13:31:00
L51,02,2239,null,o,02,Orla,TO-ORL,14:31:00
L51,02,2239,null,o,1,Orla,TO-ORL,15:11:00
L51,02,2239,null,o,02,Orla,TO-ORL,15:31:00
L51,02,2239,null,o,1,Orla,TO-ORL,16:11:00
L51,02,2239,null,o,02,Orla,TO-ORL,16:31:00
L51,02,2239,null,o,1,Orla,TO-ORL,17:11:00
L51,02,2239,null,o,02,Orla,TO-ORL,17:31:00
L51,02,2239,null,o,1,Orla,TO-ORL,18:11:00
L51,02,2239,null,o,02,Orla,TO-ORL,18:31:00
L51,02,2239,null,o,1,Orla,TO-ORL,19:11:00
L51,02,2239,null,o,02,Orla,TO-ORL,19:31:00
L51,02,2239,null,o,1,Orla,TO-ORL,20:11:00
L51,02,2239,null,o,02,Orla,TO-ORL,20:51:00
L51,02,2239,null,o,1,Orla,TO-ORL,21:31:00
L51,02,2239,null,o,1,Orla,TO-ORL,22:51:00
L51,02,2237,null,o,02,Orla,TO-ORL,04:30:00
L51,02,2237,null,o,1,Orla,TO-ORL,05:10:00
L51,02,2237,null,o,02,Orla,TO-ORL,05:30:00
L51,02,2237,null,o,1,Orla,TO-ORL,06:10:00
L51,02,2237,null,o,02,Orla,TO-ORL,06:30:00
L51,02,2237,null,o,1,Orla,TO-ORL,07:05:00
L51,02,2237,null,o,02,Orla,TO-ORL,07:46:00
L51,02,2237,null,o,1,Orla,TO-ORL,08:31:00
L51,02,2237,null,o,02,Orla,TO-ORL,09:10:00
L51,02,2237,null,o,1,Orla,TO-ORL,10:10:00
L51,02,2237,null,o,1,Orla,TO-ORL,11:10:00
L51,02,2237,null,o,1,Orla,TO-ORL,12:10:00
L51,02,2237,null,o,1,Orla,TO-ORL,13:30:00
L51,02,2237,null,o,02,Orla,TO-ORL,14:30:00
