Lines,Lon,VehicleNumber,Time,Lat,Brigade
213,21.1023906,1000,2024-01-25 13:14:38,52.2228575,3
311,21.0772686,1001,2024-01-25 13:14:34,52.2437345,503
213,21.1735855,1002,2024-01-25 13:14:34,52.1874035,2
213,21.188826,1003,2024-01-25 13:14:33,52.149823,1
213,21.197398,1004,2024-01-25 13:14:33,52.1834318,5
219,21.1876175,1005,2024-01-25 13:14:26,52.1839381,1
219,21.1306395,1007,2024-01-25 13:14:32,52.2142523,3
L-8,21.0569859,10071,2024-01-25 13:14:35,52.411073,1
L31,21.1252505,10072,2024-01-25 11:17:35,52.4441201,1
L49,20.944619,10073,2024-01-25 13:14:35,52.3612375,1
L24,21.0288061,10074,2024-01-25 13:14:36,52.075969,696
L-8,20.9353386,10075,2024-01-25 13:14:34,52.395955,02
225,21.1024635,1008,2024-01-25 13:14:31,52.22278,501
311,21.070296,1009,2024-01-25 13:14:35,52.2460931,502
213,21.1013043,1011,2024-01-25 13:14:36,52.225478,4
219,21.0925076,1014,2024-01-25 13:14:31,52.225006,2
108,21.046028,1020,2024-01-25 13:14:35,52.215733,4
263,21.064858,1022,2024-01-25 13:14:22,52.152059,4
263,20.996716,1023,2024-01-25 11:52:45,52.186821,06
208,20.9591219,1025,2024-01-25 13:14:35,52.2154187,05
163,20.9958061,1027,2024-01-25 13:14:36,52.1857067,01
108,21.053268,1028,2024-01-25 13:14:28,52.180111,1
208,20.9951345,1029,2024-01-25 13:14:36,52.1883917,06
107,21.04694,1037,2024-01-25 13:14:35,52.197731,7
108,21.075218,1039,2024-01-25 13:14:35,52.207874,2
107,20.9895117,1040,2024-01-25 13:14:25,52.24418,2
107,21.047223,1041,2024-01-25 13:14:25,52.212336,4
204,21.07043,1042,2024-01-25 13:14:35,52.324256,03
204,21.03842,1045,2024-01-25 13:14:24,52.2689617,04
107,21.0547717,1046,2024-01-25 13:14:33,52.1948283,5
204,21.044928,1048,2024-01-25 11:04:51,52.265048,05
107,21.045856,1049,2024-01-25 13:14:32,52.216206,8
228,20.980153,1052,2024-01-25 13:14:22,52.188001,3
228,20.8929383,1053,2024-01-25 13:14:23,52.2003833,1
228,20.928248,1054,2024-01-25 13:14:20,52.214338,2
208,20.9755467,1055,2024-01-25 13:14:20,52.2102517,591
208,20.9638433,1056,2024-01-25 13:14:34,52.2080067,2
108,21.023907,1060,2024-01-25 13:14:36,52.179741,399
263,21.045134,1061,2024-01-25 13:14:32,52.149471,06
107,20.979387,1063,2024-01-25 13:14:35,52.244541,1
107,21.085117,1064,2024-01-25 13:14:35,52.193306,6
108,21.0234736,1065,2024-01-25 13:14:33,52.2284174,3
208,20.9979974,1067,2024-01-25 12:53:56,52.1861852,05
107,21.0022647,1068,2024-01-25 13:14:34,52.2431252,9
108,21.079609,1069,2024-01-25 13:14:36,52.18388,5
163,20.995249,1071,2024-01-25 09:27:15,52.18763,01
208,20.9979734,1073,2024-01-25 12:28:07,52.186035,03
107,21.016653,1075,2024-01-25 13:14:35,52.229969,3
163,20.9979256,1076,2024-01-25 10:47:36,52.1858587,03
163,20.9980232,1077,2024-01-25 10:04:26,52.1863242,02
208,20.99799,1078,2024-01-25 10:46:59,52.186077,06
123,21.0466568,1101,2024-01-25 13:14:34,52.2645625,08
166,21.0445076,1106,2024-01-25 10:22:44,52.2648878,09
166,21.0416943,1109,2024-01-25 13:14:35,52.168967,2
303,20.961499,1110,2024-01-25 13:14:29,52.2673496,1
736,20.9810858,1112,2024-01-25 13:14:29,52.392148,2
123,21.0678543,1115,2024-01-25 13:14:35,52.2257456,3
181,20.9000416,1117,2024-01-25 13:14:38,52.2973051,2
240,21.116133,1118,2024-01-25 13:14:33,52.3367098,2
166,21.041168,1119,2024-01-25 13:14:33,52.169736,7
L48,21.18456,11201,2024-01-25 10:20:50,52.2442585,1
L27,21.1508848,11202,2024-01-25 13:14:33,52.3105365,1
168,21.0905422,1200,2024-01-25 13:14:33,52.2213934,7
739,20.9956727,1201,2024-01-25 10:18:38,52.1881624,07
222,21.0239369,1203,2024-01-25 13:14:36,52.2239721,3
251,21.10792,1204,2024-01-25 13:14:35,52.115337,63
119,20.9964429,1205,2024-01-25 13:14:35,52.1857856,06
218,21.024267,1206,2024-01-25 13:14:34,52.179775,1
139,21.045393,1207,2024-01-25 13:14:36,52.17503,61
263,21.0989041,1208,2024-01-25 13:14:35,52.1613549,3
218,21.0247167,1209,2024-01-25 13:14:36,52.1908061,4
263,21.049036,1210,2024-01-25 13:14:35,52.178314,2
263,21.0338642,1211,2024-01-25 13:14:34,52.1484432,5
263,21.098705,1213,2024-01-25 13:14:34,52.184654,1
739,20.995203,1214,2024-01-25 08:39:44,52.188187,08
739,20.9962764,1216,2024-01-25 12:50:40,52.1864156,010
166,21.066269,1217,2024-01-25 13:14:33,52.130745,661
218,21.010654,1218,2024-01-25 13:14:33,52.189079,3
106,20.965704,1220,2024-01-25 13:14:32,52.234581,4
251,21.1231245,1221,2024-01-25 13:14:34,52.0894969,64
106,20.966119,1222,2024-01-25 13:14:34,52.2334739,6
166,21.0317971,1223,2024-01-25 13:14:35,52.2057014,6
118,21.0156059,1224,2024-01-25 13:14:35,52.2192485,4
521,21.117155,1411,2024-01-25 06:28:05,52.233047,214
147,21.052259,1412,2024-01-25 13:14:34,52.250225,4
146,21.1171445,1413,2024-01-25 10:10:03,52.2330412,08
147,21.062004,1414,2024-01-25 13:14:36,52.230392,5
147,21.179945,1415,2024-01-25 13:14:36,52.206913,1
730,21.088245,1416,2024-01-25 13:14:36,52.244633,52
119,20.99929,1417,2024-01-25 13:14:34,52.206432,2
146,21.052519,1418,2024-01-25 13:14:35,52.250374,2
153,21.1659792,1419,2024-01-25 13:14:36,52.2759314,3
183,21.106407,1420,2024-01-25 13:14:33,52.241402,4
702,21.142191,1422,2024-01-25 13:14:32,52.187397,2
153,21.177113,1424,2024-01-25 13:14:35,52.256954,2
225,21.127811,1426,2024-01-25 13:14:32,52.233982,04
146,21.105705,1427,2024-01-25 13:14:35,52.211357,3
117,21.038174,1428,2024-01-25 13:14:34,52.235306,1
146,21.1168991,1429,2024-01-25 13:14:33,52.2330966,09
117,21.020557,1430,2024-01-25 13:14:36,52.231937,3
156,21.0204593,1500,2024-01-25 13:14:35,52.2885756,4
166,21.0399828,1501,2024-01-25 13:14:33,52.2506081,4
156,21.044,1508,2024-01-25 13:14:32,52.2922681,2
117,21.0444068,1509,2024-01-25 11:17:42,52.26501,06
118,21.0243403,1513,2024-01-25 13:14:36,52.2421028,2
183,21.191786,1523,2024-01-25 13:14:32,52.238771,2
146,21.0503267,1524,2024-01-25 13:14:24,52.2377117,1
173,21.217595,1525,2024-01-25 13:14:31,52.2145517,1
146,21.115639,1526,2024-01-25 11:44:40,52.234299,08
183,21.115829,1527,2024-01-25 11:01:06,52.234756,5
117,21.1022033,1528,2024-01-25 13:14:32,52.2222333,5
115,21.160623,1530,2024-01-25 13:14:34,52.228065,3
139,21.0927583,1532,2024-01-25 13:14:31,52.10505,62
218,20.997768,1533,2024-01-25 13:14:32,52.183283,5
139,21.0240117,1534,2024-01-25 13:14:23,52.1796217,65
